servidor,cenario,num_clientes,execucoes,throughput_media,throughput_desvio,tempo_resposta_media,tempo_resposta_desvio,taxa_sucesso_media,taxa_sucesso_desvio,tempo_total_media,tempo_total_desvio
sequencial,rapido,1,10,85.82,0.68,0.8,0.0,100.0,0.0,0.02,0.0
sequencial,rapido,2,10,170.402,2.437,0.8,0.1,100.0,0.0,0.02,0.0
sequencial,rapido,4,10,10.44,8.707,117.8,32.2,100.0,0.0,0.96,0.26
sequencial,rapido,8,10,14.499,1.271,205.3,98.8,100.0,0.0,1.11,0.1
sequencial,rapido,16,10,19.285,3.641,340.5,95.1,100.0,0.0,1.71,0.31
sequencial,rapido,32,10,30.116,9.263,344.0,118.0,100.0,0.0,2.35,0.87
sequencial,rapido,64,10,23.246,15.462,717.1,281.2,97.7,3.7,7.63,4.02
sequencial,rapido,128,10,17.764,2.072,831.1,225.5,87.9,5.4,12.74,0.74
sequencial,rapido,256,10,21.551,8.245,1225.0,321.5,77.0,8.1,20.09,5.53
sequencial,rapido,512,10,30.57,4.606,1261.2,226.0,72.5,6.2,24.57,2.64
sequencial,medio,1,10,1.816,0.424,614.6,356.6,100.0,0.0,1.25,0.71
sequencial,medio,2,10,1.982,0.0,872.6,0.2,100.0,0.0,2.02,0.0
sequencial,medio,4,10,1.909,0.078,1458.3,21.5,100.0,0.0,4.2,0.17
sequencial,medio,8,10,1.795,0.157,2583.2,62.3,100.0,0.0,8.98,0.77
sequencial,medio,16,10,1.564,0.506,3218.4,867.1,77.5,21.2,16.65,2.88
sequencial,medio,32,10,1.324,0.334,5639.0,1203.0,56.6,14.4,27.37,1.24
sequencial,medio,64,10,1.074,0.612,4556.8,1892.8,22.0,13.2,25.41,3.1
sequencial,medio,128,10,0.0,0.0,0,0.0,0.0,0.0,20.08,0.01
sequencial,medio,256,10,0.0,0.0,0,0.0,0.0,0.0,20.2,0.31
sequencial,medio,512,10,0.0,0.0,0,0.0,0.0,0.0,20.18,0.02
sequencial,lento,1,10,0.0,0.0,0,0.0,0.0,0.0,6.72,1.64
sequencial,lento,2,10,0.0,0.0,0,0.0,0.0,0.0,6.16,0.02
sequencial,lento,4,10,0.0,0.0,0,0.0,0.0,0.0,6.1,0.16
sequencial,lento,8,10,0.0,0.0,0,0.0,0.0,0.0,6.16,0.0
sequencial,lento,16,10,0.0,0.0,0,0.0,0.0,0.0,6.16,0.0
sequencial,lento,32,10,0.0,0.0,0,0.0,0.0,0.0,6.05,0.22
sequencial,lento,64,10,0.0,0.0,0,0.0,0.0,0.0,8.27,2.36
sequencial,lento,128,10,0.0,0.0,0,0.0,0.0,0.0,17.2,1.73
sequencial,lento,256,10,0.0,0.0,0,0.0,0.0,0.0,19.94,0.52
sequencial,lento,512,10,0.0,0.0,0,0.0,0.0,0.0,20.25,0.06
concorrente,rapido,1,10,79.679,1.698,1.7,0.3,100.0,0.0,0.03,0.0
concorrente,rapido,2,10,157.628,2.511,1.5,0.2,100.0,0.0,0.03,0.0
concorrente,rapido,4,10,283.953,47.052,1.8,0.3,100.0,0.0,0.03,0.01
concorrente,rapido,8,10,519.868,11.69,2.4,0.3,100.0,0.0,0.03,0.0
concorrente,rapido,16,10,883.826,25.963,2.9,0.6,100.0,0.0,0.04,0.0
concorrente,rapido,32,10,1373.138,20.413,3.7,0.4,100.0,0.0,0.05,0.0
concorrente,rapido,64,10,1623.057,30.465,5.8,1.0,100.0,0.0,0.08,0.0
concorrente,rapido,128,10,1794.971,252.202,7.8,1.6,100.0,0.0,0.15,0.03
concorrente,rapido,256,10,2003.468,18.658,8.9,1.2,100.0,0.0,0.26,0.0
concorrente,rapido,512,10,2037.555,118.795,12.1,2.2,100.0,0.0,0.5,0.03
concorrente,medio,1,10,1.947,0.001,502.5,0.2,100.0,0.0,1.03,0.0
concorrente,medio,2,10,3.894,0.002,502.5,0.2,100.0,0.0,1.03,0.0
concorrente,medio,4,10,7.782,0.003,502.6,0.2,100.0,0.0,1.03,0.0
concorrente,medio,8,10,15.526,0.012,502.7,0.3,100.0,0.0,1.03,0.0
concorrente,medio,16,10,30.908,0.053,503.0,0.5,100.0,0.0,1.04,0.0
concorrente,medio,32,10,61.321,0.093,503.9,0.7,100.0,0.0,1.04,0.0
concorrente,medio,64,10,119.815,0.292,508.8,0.5,100.0,0.0,1.07,0.0
concorrente,medio,128,10,227.559,6.574,517.9,2.5,100.0,0.0,1.13,0.04
concorrente,medio,256,10,246.24,35.742,643.8,65.4,100.0,0.0,2.11,0.22
concorrente,medio,512,10,436.561,11.604,742.7,28.1,100.0,0.0,2.35,0.06
concorrente,lento,1,10,0.496,0.0,2004.1,0.0,100.0,0.0,4.03,0.0
concorrente,lento,2,10,0.992,0.0,2004.1,0.4,100.0,0.0,4.03,0.0
concorrente,lento,4,10,1.985,0.0,2003.9,0.1,100.0,0.0,4.03,0.0
concorrente,lento,8,10,3.967,0.001,2004.2,0.3,100.0,0.0,4.03,0.0
concorrente,lento,16,10,7.924,0.002,2004.6,0.5,100.0,0.0,4.04,0.0
concorrente,lento,32,10,15.811,0.007,2005.9,0.7,100.0,0.0,4.05,0.0
concorrente,lento,64,10,31.435,0.018,2010.7,1.0,100.0,0.0,4.07,0.0
concorrente,lento,128,10,61.988,0.62,2019.1,3.4,100.0,0.0,4.13,0.04
concorrente,lento,256,10,98.546,0.118,2211.9,21.2,100.0,0.0,5.2,0.01
concorrente,lento,512,10,193.545,1.442,2214.6,33.5,100.0,0.0,5.29,0.04
